molecule	locus	gene	start	end	strand	orientation	pseudo
Rhizobium_hidalgonense_QUR0172	pgaptmp_005033	other	16969	16631	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005032	nodD	18789	17845	forward	1	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005031	nolE	19288	18956	forward	1	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005030	other	20351	19831	forward	1	1
Rhizobium_hidalgonense_QUR0172	pgaptmp_005029	other	20644	20362	forward	1	1
Rhizobium_hidalgonense_QUR0172	pgaptmp_005028	noeL	21186	20719	forward	1	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005027	nolO	23625	21568	forward	1	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001633	nolL	1111	1	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001619	nodD	4019	3111	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001618	nodD	5385	4429	forward	1	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001610	nodA	7972	7385	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001580	nodZ	10266	9972	forward	1	1
Rhizobium_johnstonii_QUR0098	pgaptmp_001579	nodB	11399	10740	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001578	nodC	12730	11399	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001577	nodS	13363	12746	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001576	nodU	13597	13400	reverse	0	1
Rhizobium_johnstonii_QUR0098	pgaptmp_001575	nodU	14016	13730	reverse	0	1
Rhizobium_johnstonii_QUR0098	pgaptmp_001574	nodI	15030	14116	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001573	nodJ	15822	15034	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001572	other	16445	16029	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001571	other	17576	16971	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001571	other	16969	16631	reverse	0	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001570	nodD	18789	17845	forward	1	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001569	nolE	19288	18956	forward	1	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001568	other	20351	19831	forward	1	1
Rhizobium_johnstonii_QUR0098	pgaptmp_001567	other	20644	20362	forward	1	1
Rhizobium_johnstonii_QUR0098	pgaptmp_001566	noeL	21165	20719	forward	1	0
Rhizobium_johnstonii_QUR0098	pgaptmp_001565	nolO	23625	21568	forward	1	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000161	nolL	1111	1	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000147	nodD	4019	3111	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000146	nodD	5385	4429	forward	1	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000138	nodA	7972	7385	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000108	nodZ	10266	9972	forward	1	1
Rhizobium_laguerreae_QUR0112	pgaptmp_000107	nodB	11399	10740	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000106	nodC	12730	11399	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000105	nodS	13363	12746	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000104	nodU	13597	13400	reverse	0	1
Rhizobium_laguerreae_QUR0112	pgaptmp_000103	nodU	14016	13730	reverse	0	1
Rhizobium_laguerreae_QUR0112	pgaptmp_000102	nodI	15030	14116	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000101	nodJ	15822	15034	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000100	other	16445	16029	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000099	other	17576	16971	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000099	other	16969	16631	reverse	0	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000098	nodD	18789	17845	forward	1	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000097	nolE	19288	18956	forward	1	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000096	other	20351	19831	forward	1	1
Rhizobium_laguerreae_QUR0112	pgaptmp_000095	other	20644	20362	forward	1	1
Rhizobium_laguerreae_QUR0112	pgaptmp_000094	noeL	21165	20719	forward	1	0
Rhizobium_laguerreae_QUR0112	pgaptmp_000093	nolO	23625	21568	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000250	nolL	1	1113	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000270	nodD	3113	4021	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000271	other	4103	4450	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000272	nodD	4430	5386	reverse	0	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000281	nodA	7386	7973	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000308	nodZ	9973	10959	reverse	0	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000309	nodB	12587	13246	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000310	nodC	13254	14585	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000311	nodS	14601	15218	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000312	nodU	15254	15457	forward	1	1
Rhizobium_leguminosarum_QUR0050	pgaptmp_000313	nodU	15587	15874	forward	1	1
Rhizobium_leguminosarum_QUR0050	pgaptmp_000314	nodI	15938	16888	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000315	nodJ	16892	17680	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000316	other	17887	18303	forward	1	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000317	nodD	18656	19594	reverse	0	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000318	nolE	19763	20095	reverse	0	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000319	other	20484	21153	reverse	0	1
Rhizobium_leguminosarum_QUR0050	pgaptmp_000320	other	21167	21461	reverse	0	1
Rhizobium_leguminosarum_QUR0050	pgaptmp_000321	other	21949	22299	reverse	0	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000322	other	22303	22734	reverse	0	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000323	noeL	22794	23189	reverse	0	0
Rhizobium_leguminosarum_QUR0050	pgaptmp_000324	nolO	23384	25441	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001637	nolL	1111	1	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001619	nodD	4019	3111	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001618	other	4850	4266	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001617	other	6464	4932	forward	1	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001616	other	6886	6533	forward	1	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001615	other	7269	6883	forward	1	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001614	other	7682	7314	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001613	nodD	8618	7662	forward	1	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001606	nodA	11205	10618	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001571	nodZ	14176	13205	forward	1	1
Rhizobium_leguminosarum_QUR0062	pgaptmp_001570	other	15158	14623	reverse	0	1
Rhizobium_leguminosarum_QUR0062	pgaptmp_001569	nodB	16622	15963	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001568	nodC	17949	16630	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001567	nodS	18582	17965	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001566	nodU	19017	18619	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001565	nodU	19238	18953	reverse	0	1
Rhizobium_leguminosarum_QUR0062	pgaptmp_001564	nodI	20255	19341	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001563	nodJ	21047	20259	reverse	0	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001562	nodD	22404	21460	forward	1	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001561	nolE	22903	22571	forward	1	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001560	other	23964	23444	forward	1	1
Rhizobium_leguminosarum_QUR0062	pgaptmp_001559	other	24263	23975	forward	1	1
Rhizobium_leguminosarum_QUR0062	pgaptmp_001558	noeL	24785	24339	forward	1	0
Rhizobium_leguminosarum_QUR0062	pgaptmp_001557	nolO	25688	25187	forward	1	1
Rhizobium_leguminosarum_QUR0136	pgaptmp_006709	nolL	1111	1	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006689	nodD	4019	3111	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006688	other	4448	4101	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006687	nodD	5384	4428	forward	1	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006678	nodA	7971	7384	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006651	nodZ	10957	9971	forward	1	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006650	nodB	13244	12585	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006649	nodC	14583	13252	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006648	nodS	15216	14599	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006647	nodU	15455	15252	reverse	0	1
Rhizobium_leguminosarum_QUR0136	pgaptmp_006646	nodU	15872	15585	reverse	0	1
Rhizobium_leguminosarum_QUR0136	pgaptmp_006645	nodI	16886	15972	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006644	nodJ	17678	16890	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006643	other	18301	17885	reverse	0	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006642	nodD	19592	18654	forward	1	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006641	nolE	20093	19761	forward	1	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006640	other	21151	20482	forward	1	1
Rhizobium_leguminosarum_QUR0136	pgaptmp_006639	other	21459	21165	forward	1	1
Rhizobium_leguminosarum_QUR0136	pgaptmp_006638	other	22297	21947	forward	1	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006637	other	22732	22301	forward	1	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006636	noeL	23187	22792	forward	1	0
Rhizobium_leguminosarum_QUR0136	pgaptmp_006635	nolO	25439	23382	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006424	nolL	1	1113	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006438	nodD	3113	4021	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006439	nodD	4431	5387	reverse	0	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006447	nodA	7387	7974	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006478	nodZ	9974	10268	reverse	0	1
Rhizobium_leguminosarum_QUR0177	pgaptmp_006479	nodB	10742	11401	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006480	nodC	11401	12732	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006481	nodS	12748	13365	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006482	nodU	13402	13599	forward	1	1
Rhizobium_leguminosarum_QUR0177	pgaptmp_006483	nodU	13732	14018	forward	1	1
Rhizobium_leguminosarum_QUR0177	pgaptmp_006484	nodI	14118	15032	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006485	nodJ	15036	15824	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006486	other	16031	16447	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006487	other	16633	16971	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006487	other	16973	17578	forward	1	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006488	nodD	17847	18791	reverse	0	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006489	nolE	18958	19290	reverse	0	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006490	other	19833	20353	reverse	0	1
Rhizobium_leguminosarum_QUR0177	pgaptmp_006491	other	20364	20646	reverse	0	1
Rhizobium_leguminosarum_QUR0177	pgaptmp_006492	noeL	20721	21167	reverse	0	0
Rhizobium_leguminosarum_QUR0177	pgaptmp_006493	nolO	21570	23627	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005613	nolL	1111	1	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005599	nodD	4019	3111	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005598	nodD	5385	4429	forward	1	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005590	nodA	7972	7385	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005559	nodZ	10266	9972	forward	1	1
Rhizobium_leguminosarum_QUR0210	pgaptmp_005558	nodB	11399	10740	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005557	nodC	12730	11399	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005556	nodS	13363	12746	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005555	nodU	13597	13400	reverse	0	1
Rhizobium_leguminosarum_QUR0210	pgaptmp_005554	nodU	14016	13730	reverse	0	1
Rhizobium_leguminosarum_QUR0210	pgaptmp_005553	nodI	15030	14116	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005552	nodJ	15822	15034	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005551	other	16445	16029	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005550	other	17576	16971	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005550	other	16969	16631	reverse	0	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005549	nodD	18789	17845	forward	1	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005548	nolE	19288	18956	forward	1	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005547	other	20351	19831	forward	1	1
Rhizobium_leguminosarum_QUR0210	pgaptmp_005546	other	20644	20362	forward	1	1
Rhizobium_leguminosarum_QUR0210	pgaptmp_005545	noeL	21165	20719	forward	1	0
Rhizobium_leguminosarum_QUR0210	pgaptmp_005544	nolO	23625	21568	forward	1	0
Rhizobium_sophoriradicis_QUR0003	pgaptmp_006513	nolL	1	1113	forward	1	0
Rhizobium_sophoriradicis_QUR0003	pgaptmp_006531	nodD	3113	4021	forward	1	0
Rhizobium_sophoriradicis_QUR0003	pgaptmp_006532	other	4103	4450	forward	1	0
