strain_name	CCASM_ID	Species	cultivar	soil	isolation_source	isolation_year	bioproject_accession	genome_status	genome_size	contig_count	proteins	pseudogenes	checkm_completeness	checkm_contamination	Symbiovar
QUR0072	CCASM_20069	Rhizobium_anhuiense	Heritage_navy	GSC144	Nodule	2023	PRJNA1414687	draft	7306353	6	6769	187	100	0.13	phaseoli_y-a
QUR0074	CCASM_20071	Rhizobium_anhuiense	Heritage_navy	GSC144	Nodule	2023	PRJNA1414687	complete	7571135	7	7009	268	99.92	0.03	phaseoli_y-a
QUR0094	CCASM_20091	Rhizobium_anhuiense	Heritage_navy	GSC152	Nodule	2023	PRJNA1414687	draft	7536668	10	7011	223	100	0.13	phaseoli_y-a
QUR0096	CCASM_20093	Rhizobium_anhuiense	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7044209	4	6551	160	100	0.03	phaseoli_y-a
QUR0109	CCASM_20106	Rhizobium_anhuiense	Commercian_navy	GSC144	Nodule	2023	PRJNA1414687	draft	7269317	9	6764	163	100	0.13	phaseoli_y-a
QUR0123	CCASM_20120	Rhizobium_anhuiense	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	draft	7547038	9	7019	225	100	0.13	phaseoli_y-a
QUR0194	CCASM_20190	Rhizobium_anhuiense	Commercial_kidney	GSC151	Nodule	2023	PRJNA1414687	draft	7288595	9	6786	165	100	0.13	phaseoli_y-a
QUR0195	CCASM_20191	Rhizobium_anhuiense	Commercial_kidney	GSC151	Nodule	2023	PRJNA1414687	draft	7288595	9	6791	162	100	0.13	phaseoli_y-a
QUR0196	CCASM_20192	Rhizobium_anhuiense	Commercial_kidney	GSC151	Nodule	2023	PRJNA1414687	draft	7287857	9	6789	166	100	0.13	phaseoli_y-a
QUR0203	CCASM_20199	Rhizobium_anhuiense	Heritage_kidney	GSC144	Nodule	2023	PRJNA1414687	complete	7295564	5	6770	169	100	0.13	phaseoli_y-a
QUR0204	CCASM_20200	Rhizobium_anhuiense	Heritage_kidney	GSC144	Nodule	2023	PRJNA1414687	complete	7295575	5	6771	172	100	0.13	phaseoli_y-a
QUR0205	CCASM_20201	Rhizobium_anhuiense	Heritage_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7288192	5	6769	170	99.92	0.13	phaseoli_y-a
QUR0207	CCASM_20203	Rhizobium_anhuiense	Heritage_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7295562	6	6777	163	100	0.13	phaseoli_y-a
QUR0209	CCASM_20205	Rhizobium_anhuiense	Heritage_kidney	GSC152	Nodule	2023	PRJNA1414687	draft	7536815	10	7008	224	100	0.13	phaseoli_y-a
QUR0024	CCASM_20022	Rhizobium_binxianense	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	6981659	9	6354	343	100	0.28	phaseoli_a
QUR0068	CCASM_20065	Rhizobium_binxianense	Heritage_navy	GSC151	Nodule	2023	PRJNA1414687	draft	6970935	15	6376	327	100	0.94	phaseoli_a
QUR0135	CCASM_20132	Rhizobium_binxianense	Heritage_kidney	GSC150	Nodule	2023	PRJNA1414687	draft	6938282	9	6333	328	99.91	0.28	phaseoli_a
QUR0170	CCASM_20167	Rhizobium_binxianense	Commercian_navy	GSC150	Nodule	2023	PRJNA1414687	draft	6863575	6	6242	333	100	0.28	phaseoli_y-b
QUR0191	CCASM_20187	Rhizobium_binxianense	Commercial_kidney	GSC151	Nodule	2023	PRJNA1414687	draft	6999227	13	6438	280	100	0.28	phaseoli_a
QUR0206	CCASM_20202	Rhizobium_binxianense	Heritage_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7008744	8	6317	405	99.74	0.28	phaseoli_a
QUR0011	CCASM_20009	Rhizobium_croatiense	Commercial_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	7230028	7	6700	192	99.94	0.67	phaseoli_y-a
QUR0016	CCASM_20014	Rhizobium_croatiense	Commercial_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	6633251	7	6053	267	99.94	0.61	phaseoli_y-a
QUR0017	CCASM_20015	Rhizobium_croatiense	Commercial_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	6632958	7	6061	254	99.94	0.61	phaseoli_y-a
QUR0018	CCASM_20016	Rhizobium_croatiense	Commercial_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	6593040	7	6048	249	99.94	0.61	phaseoli_y-a
QUR0019	CCASM_20017	Rhizobium_croatiense	Commercial_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	6593363	7	6045	247	99.94	0.61	phaseoli_y-a
QUR0032	CCASM_20029	Rhizobium_croatiense	Heritage_navy	GSC150	Nodule	2023	PRJNA1414687	draft	6397589	7	5869	237	99.94	0.42	phaseoli_y-a
QUR0033	CCASM_20030	Rhizobium_croatiense	Heritage_navy	GSC150	Nodule	2023	PRJNA1414687	draft	6615357	6	5882	406	98.59	0.49	phaseoli_a
QUR0034	CCASM_20031	Rhizobium_croatiense	Heritage_navy	GSC150	Nodule	2023	PRJNA1414687	draft	6891373	8	6251	369	99.79	0.33	phaseoli_y-b
QUR0036	CCASM_20033	Rhizobium_croatiense	Commercian_navy	GSC148	Nodule	2023	PRJNA1414687	complete	6775004	7	6208	291	99.94	0.33	phaseoli_y-b
QUR0037	CCASM_20034	Rhizobium_croatiense	Commercian_navy	GSC148	Nodule	2023	PRJNA1414687	complete	6712584	7	6136	290	99.6	0.33	phaseoli_y-b
QUR0038	CCASM_20035	Rhizobium_croatiense	Commercian_navy	GSC148	Nodule	2023	PRJNA1414687	complete	6712659	7	6133	288	99.66	0.33	phaseoli_y-b
QUR0039	CCASM_20036	Rhizobium_croatiense	Commercian_navy	GSC148	Nodule	2023	PRJNA1414687	complete	6624591	7	6044	268	99.94	0.61	phaseoli_y-a
QUR0043	CCASM_20040	Rhizobium_croatiense	Commercial_kidney	GSC146	Nodule	2023	PRJNA1414687	draft	6633885	7	6061	252	99.94	0.61	phaseoli_y-a
QUR0045	CCASM_20042	Rhizobium_croatiense	Commercial_kidney	GSC146	Nodule	2023	PRJNA1414687	draft	6591987	7	6039	255	99.94	0.61	phaseoli_y-a
QUR0046	CCASM_20043	Rhizobium_croatiense	Heritage_kidney	GSC148	Nodule	2023	PRJNA1414687	draft	6737159	6	6153	292	99.94	0.33	phaseoli_y-b
QUR0048	CCASM_20045	Rhizobium_croatiense	Commercial_kidney	GSC146	Nodule	2023	PRJNA1414687	draft	6407656	7	5890	246	99.76	0.33	phaseoli_y-a
QUR0053	CCASM_20050	Rhizobium_croatiense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	complete	6503765	7	5957	243	99.89	0.28	phaseoli_y-a
QUR0054	CCASM_20051	Rhizobium_croatiense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	draft	6640613	8	6073	257	99.89	0.61	phaseoli_y-a
QUR0055	CCASM_20052	Rhizobium_croatiense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	draft	6691931	8	6192	244	99.89	0.61	phaseoli_y-a
QUR0057	CCASM_20054	Rhizobium_croatiense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	complete	6593427	7	6011	290	99.94	0.61	phaseoli_y-a
QUR0058	CCASM_20055	Rhizobium_croatiense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	draft	6593956	10	5951	354	99.66	0.61	phaseoli_y-a
QUR0076	CCASM_20073	Rhizobium_croatiense	Commercial_kidney	GSC147	Nodule	2023	PRJNA1414687	draft	6393650	7	5877	247	99.6	0.28	phaseoli_y-a
QUR0077	CCASM_20074	Rhizobium_croatiense	Commercial_kidney	GSC147	Nodule	2023	PRJNA1414687	complete	6683590	6	6123	279	99.89	0.33	phaseoli_y-b
QUR0078	CCASM_20075	Rhizobium_croatiense	Commercial_kidney	GSC147	Nodule	2023	PRJNA1414687	draft	6948482	8	6349	339	99.94	0.33	phaseoli_y-b
QUR0079	CCASM_20076	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	draft	6500900	7	5954	241	99.66	0.28	phaseoli_y-a
QUR0081	CCASM_20078	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	complete	6502699	7	5952	242	99.94	0.28	phaseoli_y-a
QUR0082	CCASM_20079	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	draft	6502003	7	5950	245	99.94	0.28	phaseoli_y-a
QUR0083	CCASM_20080	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	complete	6324739	6	5797	251	99.6	0.33	phaseoli_y-a
QUR0084	CCASM_20081	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	draft	6644255	8	6014	307	99.89	0.33	phaseoli_y-a
QUR0085	CCASM_20082	Rhizobium_croatiense	Commercian_navy	GSC147	Nodule	2023	PRJNA1414687	draft	6684126	6	6115	285	99.94	0.33	phaseoli_y-b
QUR0086	CCASM_20083	Rhizobium_croatiense	Commercian_navy	GSC147	Nodule	2023	PRJNA1414687	draft	6760302	7	6199	286	99.89	0.33	phaseoli_y-b
QUR0087	CCASM_20084	Rhizobium_croatiense	Commercian_navy	GSC147	Nodule	2023	PRJNA1414687	complete	6936953	8	6365	244	99.94	0.89	phaseoli_a
QUR0088	CCASM_20085	Rhizobium_croatiense	Commercian_navy	GSC147	Nodule	2023	PRJNA1414687	draft	6416517	7	5909	246	99.66	0.28	phaseoli_y-a
QUR0089	CCASM_20086	Rhizobium_croatiense	Commercian_navy	GSC147	Nodule	2023	PRJNA1414687	complete	6503249	7	5949	244	99.94	0.28	phaseoli_y-a
QUR0090	CCASM_20087	Rhizobium_croatiense	Commercian_navy	GSC147	Nodule	2023	PRJNA1414687	complete	6690403	6	6093	319	99.88	0.33	phaseoli_y-b
QUR0103	CCASM_20100	Rhizobium_croatiense	Commercial_kidney	GSC148	Nodule	2023	PRJNA1414687	draft	6683576	6	6121	279	99.89	0.33	phaseoli_y-b
QUR0106	CCASM_20103	Rhizobium_croatiense	Commercial_kidney	GSC148	Nodule	2023	PRJNA1414687	draft	6668403	6	6133	244	99.94	0.61	phaseoli_y-a
QUR0111	CCASM_20108	Rhizobium_croatiense	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	6405414	7	5897	239	99.89	0.47	phaseoli_y-a
QUR0113	CCASM_20110	Rhizobium_croatiense	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	complete	6698524	7	6207	252	99.94	0.61	phaseoli_y-b
QUR0114	CCASM_20111	Rhizobium_croatiense	Commercial_kidney	GSC145	Nodule	2023	PRJNA1414687	draft	6593023	7	6054	246	99.94	0.61	phaseoli_y-a
QUR0115	CCASM_20112	Rhizobium_croatiense	Commercial_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	6394290	7	5882	243	99.89	0.28	phaseoli_y-a
QUR0116	CCASM_20113	Rhizobium_croatiense	Commercian_navy	GSC148	Nodule	2023	PRJNA1414687	draft	6502910	7	5964	233	99.94	0.28	phaseoli_y-a
QUR0117	CCASM_20114	Rhizobium_croatiense	Heritage_kidney	GSC147	Nodule	2023	PRJNA1414687	complete	6396802	7	5882	249	99.89	0.28	phaseoli_y-a
QUR0126	CCASM_20123	Rhizobium_croatiense	Heritage_kidney	GSC147	Nodule	2023	PRJNA1414687	complete	6913445	8	6367	312	99.94	0.61	phaseoli_y-b
QUR0130	CCASM_20127	Rhizobium_croatiense	Heritage_kidney	GSC147	Nodule	2023	PRJNA1414687	draft	6686997	6	6122	281	99.94	0.33	phaseoli_y-b
QUR0132	CCASM_20129	Rhizobium_croatiense	Heritage_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	6508204	8	5975	255	99.94	0.28	phaseoli_y-a
QUR0133	CCASM_20130	Rhizobium_croatiense	Heritage_kidney	GSC145	Nodule	2023	PRJNA1414687	draft	6637964	8	6016	328	99.65	0.61	phaseoli_y-a
QUR0134	CCASM_20131	Rhizobium_croatiense	Heritage_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	6693379	6	6130	278	99.94	0.05	phaseoli_y-b
QUR0137	CCASM_20134	Rhizobium_croatiense	Heritage_kidney	GSC150	Nodule	2023	PRJNA1414687	draft	6891341	8	6282	334	99.94	0.33	phaseoli_y-b
QUR0149	CCASM_20146	Rhizobium_croatiense	Heritage_kidney	GSC146	Nodule	2023	PRJNA1414687	draft	6503753	7	5962	235	99.94	0.28	phaseoli_y-a
QUR0150	CCASM_20147	Rhizobium_croatiense	Heritage_kidney	GSC146	Nodule	2023	PRJNA1414687	draft	6504892	7	5958	236	99.94	0.28	phaseoli_y-a
QUR0151	CCASM_20148	Rhizobium_croatiense	Heritage_kidney	GSC146	Nodule	2023	PRJNA1414687	complete	6503764	7	5955	242	99.94	0.28	phaseoli_y-a
QUR0152	CCASM_20149	Rhizobium_croatiense	Heritage_kidney	GSC146	Nodule	2023	PRJNA1414687	complete	6644756	7	6110	257	99.94	0.61	phaseoli_y-a
QUR0153	CCASM_20150	Rhizobium_croatiense	Heritage_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	6712267	7	6139	286	99.66	0.33	phaseoli_y-b
QUR0154	CCASM_20151	Rhizobium_croatiense	Heritage_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	6529126	7	5995	235	99.94	0.61	phaseoli_y-a
QUR0155	CCASM_20152	Rhizobium_croatiense	Heritage_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	6740484	7	6164	287	99.38	0.33	phaseoli_y-b
QUR0156	CCASM_20153	Rhizobium_croatiense	Heritage_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	6440878	7	5953	243	99.8	0.47	phaseoli_y-a
QUR0158	CCASM_20155	Rhizobium_croatiense	Heritage_navy	GSC147	Nodule	2023	PRJNA1414687	complete	6939344	8	6354	292	99.94	0.33	phaseoli_y-b
QUR0160	CCASM_20157	Rhizobium_croatiense	Heritage_navy	GSC147	Nodule	2023	PRJNA1414687	complete	6703457	7	6137	283	99.89	0.33	phaseoli_y-b
QUR0161	CCASM_20158	Rhizobium_croatiense	Heritage_navy	GSC147	Nodule	2023	PRJNA1414687	draft	6915402	8	6384	307	99.94	0.61	phaseoli_y-b
QUR0162	CCASM_20159	Rhizobium_croatiense	Heritage_navy	GSC147	Nodule	2023	PRJNA1414687	complete	6774172	8	6208	285	99.94	0.47	phaseoli_y-b
QUR0163	CCASM_20160	Rhizobium_croatiense	Heritage_navy	GSC146	Nodule	2023	PRJNA1414687	draft	6610286	7	6072	247	99.94	0.61	phaseoli_y-a
QUR0165	CCASM_20162	Rhizobium_croatiense	Heritage_navy	GSC146	Nodule	2023	PRJNA1414687	complete	6396813	7	5885	247	99.89	0.28	phaseoli_y-a
QUR0166	CCASM_20163	Rhizobium_croatiense	Heritage_navy	GSC146	Nodule	2023	PRJNA1414687	complete	6633772	7	6056	259	99.94	0.61	phaseoli_y-a
QUR0167	CCASM_20164	Rhizobium_croatiense	Heritage_navy	GSC146	Nodule	2023	PRJNA1414687	complete	6633893	7	6055	264	99.94	0.61	phaseoli_y-a
QUR0168	CCASM_20165	Rhizobium_croatiense	Heritage_navy	GSC146	Nodule	2023	PRJNA1414687	complete	6302084	6	5794	235	99.94	0.28	phaseoli_y-a
QUR0171	CCASM_20168	Rhizobium_croatiense	Commercian_navy	GSC150	Nodule	2023	PRJNA1414687	complete	6630660	6	5954	342	100	0.02	phaseoli_a
QUR0173	CCASM_20170	Rhizobium_croatiense	Commercian_navy	GSC150	Nodule	2023	PRJNA1414687	draft	6616053	7	5590	721	96.32	0.21	phaseoli_a
QUR0174	CCASM_20171	Rhizobium_croatiense	Commercian_navy	GSC150	Nodule	2023	PRJNA1414687	draft	6672346	6	6039	333	98.31	0.52	phaseoli_a
QUR0181	CCASM_20178	Rhizobium_croatiense	Heritage_navy	GSC145	Nodule	2023	PRJNA1414687	complete	6503758	7	5956	241	99.89	0.28	phaseoli_y-a
QUR0183	CCASM_20179	Rhizobium_croatiense	Heritage_navy	GSC145	Nodule	2023	PRJNA1414687	draft	6890712	8	6351	303	99.94	0.61	phaseoli_y-b
QUR0184	CCASM_20180	Rhizobium_croatiense	Heritage_navy	GSC145	Nodule	2023	PRJNA1414687	complete	6503757	7	5956	240	99.89	0.28	phaseoli_y-a
QUR0185	CCASM_20181	Rhizobium_croatiense	Heritage_navy	GSC148	Nodule	2023	PRJNA1414687	complete	6439758	7	5939	252	99.89	0.47	phaseoli_y-a
QUR0190	CCASM_20186	Rhizobium_croatiense	Heritage_navy	GSC148	Nodule	2023	PRJNA1414687	complete	6769860	7	6213	276	99.94	0.33	phaseoli_y-b
QUR0227	CCASM_20223	Rhizobium_croatiense	Heritage_navy	GSC145	Nodule	2023	PRJNA1414687	draft	6507266	8	5985	251	99.94	0.28	phaseoli_y-a
QUR0228	CCASM_20224	Rhizobium_croatiense	Heritage_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	6633751	7	6059	256	99.94	0.33	phaseoli_y-a
QUR0257	CCASM_20248	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	complete	6622974	7	6081	251	99.9	0.61	phaseoli_y-a
QUR0258	CCASM_20249	Rhizobium_croatiense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	complete	6439733	7	5959	236	99.94	0.47	phaseoli_y-a
QUR0261	CCASM_20252	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	complete	6298938	6	5781	235	99.94	0.61	phaseoli_y-a
QUR0266	CCASM_20257	Rhizobium_croatiense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	draft	6630626	7	6048	268	99.94	0.61	phaseoli_y-a
QUR0267	CCASM_20258	Rhizobium_croatiense	Commercial_kidney	GSC146	Nodule	2023	PRJNA1414687	complete	6593368	7	6046	249	99.94	0.61	phaseoli_y-a
QUR0268	CCASM_20259	Rhizobium_croatiense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	draft	6644894	9	6092	265	99.89	0.61	phaseoli_y-a
QUR0172	CCASM_20169	Rhizobium_hidalgonense	Commercian_navy	GSC150	Nodule	2023	PRJNA1414687	complete	6872179	4	6334	257	99.72	0	phaseoli_y-a
QUR0049	CCASM_20046	Rhizobium_johnstonii	Commercial_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7576516	6	6997	234	99.63	0.08	phaseoli_y-a
QUR0061	CCASM_20058	Rhizobium_johnstonii	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	draft	7585619	6	7032	207	99.94	0.08	phaseoli_y-a
QUR0064	CCASM_20061	Rhizobium_johnstonii	Heritage_navy	GSC149	Nodule	2023	PRJNA1414687	draft	7613021	7	6981	301	99.73	0.7	phaseoli_y-a
QUR0065	CCASM_20062	Rhizobium_johnstonii	Heritage_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7448613	6	6902	215	99.94	0.08	phaseoli_y-a
QUR0098	CCASM_20095	Rhizobium_johnstonii	Commercial_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7576218	6	7014	215	99.94	0.08	phaseoli_y-a
QUR0099	CCASM_20096	Rhizobium_johnstonii	Commercial_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7585963	6	7026	214	99.94	0.08	phaseoli_y-a
QUR0100	CCASM_20097	Rhizobium_johnstonii	Commercial_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7585960	6	7029	211	99.94	0.08	phaseoli_y-a
QUR0101	CCASM_20098	Rhizobium_johnstonii	Commercial_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7585967	6	7026	219	99.94	0.08	phaseoli_y-a
QUR0102	CCASM_20099	Rhizobium_johnstonii	Commercial_kidney	GSC149	Nodule	2023	PRJNA1414687	draft	7593948	6	7035	209	99.94	0.16	phaseoli_y-a
QUR0128	CCASM_20125	Rhizobium_johnstonii	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7585093	6	7024	215	99.94	0.08	phaseoli_y-a
QUR0140	CCASM_20137	Rhizobium_johnstonii	Heritage_kidney	GSC149	Nodule	2023	PRJNA1414687	draft	7585961	6	7035	204	99.94	0.08	phaseoli_y-a
QUR0141	CCASM_20138	Rhizobium_johnstonii	Heritage_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7585957	6	7026	209	99.94	0.08	phaseoli_y-a
QUR0142	CCASM_20139	Rhizobium_johnstonii	Heritage_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7585968	6	7019	217	99.94	0.08	phaseoli_y-a
QUR0143	CCASM_20140	Rhizobium_johnstonii	Heritage_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7585974	6	7020	221	99.94	0.08	phaseoli_y-a
QUR0144	CCASM_20141	Rhizobium_johnstonii	Heritage_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7585963	6	7027	215	99.94	0.08	phaseoli_y-a
QUR0145	CCASM_20142	Rhizobium_johnstonii	Heritage_kidney	GSC149	Nodule	2023	PRJNA1414687	complete	7458082	6	6920	215	99.94	0.08	phaseoli_y-a
QUR0175	CCASM_20172	Rhizobium_johnstonii	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7585968	6	7029	213	99.94	0.08	phaseoli_y-a
QUR0176	CCASM_20173	Rhizobium_johnstonii	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	draft	7574547	7	7012	213	99.94	0.08	phaseoli_y-a
QUR0178	CCASM_20175	Rhizobium_johnstonii	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7585976	6	7022	223	99.86	0.39	phaseoli_y-a
QUR0179	CCASM_20176	Rhizobium_johnstonii	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7458074	6	6916	214	99.94	0.08	phaseoli_y-a
QUR0180	CCASM_20177	Rhizobium_johnstonii	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7585964	6	7033	215	99.94	0.08	phaseoli_y-a
QUR0263	CCASM_20254	Rhizobium_johnstonii	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	complete	7447894	7	6902	192	99.94	0.03	phaseoli_y-a
QUR0264	CCASM_20255	Rhizobium_johnstonii	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	draft	7452932	8	6914	182	99.94	0.03	phaseoli_y-a
QUR0112	CCASM_20109	Rhizobium_laguerreae	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	complete	7596904	7	7063	247	99.94	0.12	phaseoli_y-a
QUR0159	CCASM_20156	Rhizobium_laguerreae	Heritage_navy	GSC147	Nodule	2023	PRJNA1414687	complete	7596560	7	7056	252	99.94	0.12	phaseoli_y-a
QUR0226	CCASM_20222	Rhizobium_laguerreae	Heritage_navy	GSC147	Nodule	2023	PRJNA1414687	draft	7592034	7	7041	262	99.73	0.12	phaseoli_y-a
QUR0028	CCASM_20025	Rhizobium_leguminosarum	Commercial_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	7435094	6	6850	250	99.94	0.03	phaseoli_y-a
QUR0030	CCASM_20027	Rhizobium_leguminosarum	Commercial_kidney	GSC150	Nodule	2023	PRJNA1414687	draft	7429990	5	6804	261	99.94	0.03	phaseoli_y-a
QUR0031	CCASM_20028	Rhizobium_leguminosarum	Commercial_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	7684133	5	7082	235	99.94	0.25	phaseoli_y-a
QUR0035	CCASM_20032	Rhizobium_leguminosarum	Heritage_navy	GSC150	Nodule	2023	PRJNA1414687	complete	7562424	5	6857	343	99.9	0.09	phaseoli_y-a
QUR0050	CCASM_20047	Rhizobium_leguminosarum	Commercial_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	7844728	5	7234	246	99.94	0.59	phaseoli_a
QUR0051	CCASM_20048	Rhizobium_leguminosarum	Commercial_kidney	GSC150	Nodule	2023	PRJNA1414687	draft	7602202	6	7051	284	99.84	0.03	phaseoli_y-a
QUR0062	CCASM_20059	Rhizobium_leguminosarum	Heritage_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7471669	5	6693	472	99.56	0.36	phaseoli_y-b
QUR0104	CCASM_20101	Rhizobium_leguminosarum	Commercial_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	7445221	5	6872	224	99.94	0.03	phaseoli_y-a
QUR0105	CCASM_20102	Rhizobium_leguminosarum	Commercial_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	7443383	5	6867	229	99.94	0.03	phaseoli_y-a
QUR0110	CCASM_20107	Rhizobium_leguminosarum	Commercian_navy	GSC144	Nodule	2023	PRJNA1414687	complete	7705603	5	7120	243	99.94	0.1	phaseoli_y-a
QUR0120	CCASM_20117	Rhizobium_leguminosarum	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	complete	7715816	5	7161	246	99.94	0.4	phaseoli_y-a
QUR0121	CCASM_20118	Rhizobium_leguminosarum	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	complete	7715815	5	7169	240	99.94	0.4	phaseoli_y-a
QUR0122	CCASM_20119	Rhizobium_leguminosarum	Heritage_kidney	GSC147	Nodule	2023	PRJNA1414687	complete	7446740	5	6913	221	99.94	0.03	phaseoli_y-a
QUR0129	CCASM_20126	Rhizobium_leguminosarum	Heritage_kidney	GSC147	Nodule	2023	PRJNA1414687	complete	7446928	5	6912	226	99.63	0.03	phaseoli_y-a
